feature,tt_auc,pt_auc,tt_auc_eff,pt_auc_eff,sign_flip
n_chars,0.6986870467462211,0.5048885217588228,0.6986870467462211,0.5048885217588228,False
n_words,0.7798572715271779,0.499249535819965,0.7798572715271779,0.500750464180035,True
n_emoji,0.9533090008865016,0.4977179804450944,0.9533090008865016,0.5022820195549056,True
n_punct,0.6035986888628828,0.5284065221217086,0.6035986888628828,0.5284065221217086,False
emoji_density,0.9280716687230629,0.5022863168866035,0.9280716687230629,0.5022863168866035,False
punct_density,0.5994129480323862,0.5301085383206028,0.5994129480323862,0.5301085383206028,False
is_short,0.5001552229250922,0.5007633561751292,0.5001552229250922,0.5007633561751292,False
is_long,0.5,0.500129397432242,0.5,0.500129397432242,False
is_emoji_heavy,0.8932968384467038,0.5001630257580698,0.8932968384467038,0.5001630257580698,False
max_token_repeat_ratio,0.5875885082821505,0.5109520567848047,0.5875885082821505,0.5109520567848047,False
has_repeated_chars,0.5893392213995375,0.5081450124349772,0.5893392213995375,0.5081450124349772,False
hour_of_day,0.4974986833009645,0.5035017796410158,0.5025013166990355,0.5035017796410158,True
day_of_week,0.5237353446289463,0.5149944816804067,0.5237353446289463,0.5149944816804067,False
is_late_night,0.5095201596838106,0.508559875472877,0.5095201596838106,0.508559875472877,False
