ngram,chi2,p_value,sock_rate,non_sock_rate,direction
อิ,27.273231727633835,1.7663995345833518e-07,0.099581589958159,0.030322791000978153,SOCK↑
 อิอิ ,20.836355448025394,5.0024325046924375e-06,0.07615062761506276,0.0039126181936746,SOCK↑
อิ ,20.459525856727513,6.090566216652772e-06,0.099581589958159,0.030322791000978153,SOCK↑
 อิอ,20.088999169917948,7.39206431133519e-06,0.07656903765690376,0.0039126181936746,SOCK↑
 อิอิ,20.03723852963075,7.594866668515391e-06,0.07615062761506276,0.0039126181936746,SOCK↑
อิอิ ,20.03723852963075,7.594866668515391e-06,0.07615062761506276,0.0039126181936746,SOCK↑
ิอิ ,20.03723852963075,7.594866668515391e-06,0.07615062761506276,0.0039126181936746,SOCK↑
อิอ,18.534391753517923,1.668660407363755e-05,0.07656903765690376,0.0039126181936746,SOCK↑
อิอิ,18.481543550356683,1.7155764017285965e-05,0.07615062761506276,0.0039126181936746,SOCK↑
ิอิ,18.481543550356683,1.7155764017285965e-05,0.07615062761506276,0.0039126181936746,SOCK↑
 อิ,16.604139212707853,4.605040861475858e-05,0.099581589958159,0.030322791000978153,SOCK↑
ิอ,15.424693226460352,8.585899701011985e-05,0.08786610878661087,0.016302575806977502,SOCK↑
 เพี้ย,7.372430750492295,0.0066231347463924775,0.016317991631799162,0.07433974567981741,NON-SOCK↑
 เพี้,7.372430750492295,0.0066231347463924775,0.016317991631799162,0.07433974567981741,NON-SOCK↑
ส้ม,6.775470187280088,0.009241914119938714,0.04351464435146443,0.11150961851972611,NON-SOCK↑
 ส้,6.688094918349757,0.009705887033879874,0.06317991631799164,0.11835670035865667,NON-SOCK↑
 ส้ม,6.65403142035113,0.009893173328940769,0.04351464435146443,0.11150961851972611,NON-SOCK↑
 เพี,6.624202497384091,0.01006021778258662,0.03138075313807531,0.09259863058363221,NON-SOCK↑
 กก ,6.245429819482646,0.012451416157763068,0.18284518828451882,0.1966090642321487,NON-SOCK↑
พี้,6.2221588125692975,0.012616119038511689,0.016317991631799162,0.07466579719595696,NON-SOCK↑
พี้ย,6.20752249531324,0.012720854255497347,0.016317991631799162,0.07433974567981741,NON-SOCK↑
เพี้,6.20752249531324,0.012720854255497347,0.016317991631799162,0.07433974567981741,NON-SOCK↑
เพี้ย,6.20752249531324,0.012720854255497347,0.016317991631799162,0.07433974567981741,NON-SOCK↑
เพี้ยน,6.20752249531324,0.012720854255497347,0.016317991631799162,0.07433974567981741,NON-SOCK↑
พี้ยน,6.20752249531324,0.012720854255497347,0.016317991631799162,0.07433974567981741,NON-SOCK↑
ิ ,6.02056338076787,0.014140132154784659,0.701673640167364,0.6671014020215194,SOCK↑
ี้ยน,5.974294970934842,0.014515883547647516,0.016736401673640166,0.07531790022823606,NON-SOCK↑
้ยน,5.712935719170098,0.016840354187474586,0.018410041841004185,0.07531790022823606,NON-SOCK↑
 ส้ม ,5.6041230827164075,0.017918260651322685,0.04351464435146443,0.11150961851972611,NON-SOCK↑
กกก,5.053490859229909,0.024576376290842597,0.008368200836820083,0.0029344636452559502,SOCK↑
เพี,5.038631864087508,0.024788059520482977,0.03138075313807531,0.09259863058363221,NON-SOCK↑
55,4.848974636598173,0.027662571699734434,0.05355648535564853,0.029344636452559504,SOCK↑
ส้ม ,4.7954210550640015,0.028535481051098308,0.04351464435146443,0.11150961851972611,NON-SOCK↑
้าห้,4.778388555786686,0.028819076926939365,0.00041841004184100416,0.011411803064884252,NON-SOCK↑
กกกก,4.765227568470095,0.02904021998623316,0.005857740585774059,0.00097815454841865,SOCK↑
กก ,4.535730885173549,0.0331942789681477,0.18284518828451882,0.1966090642321487,NON-SOCK↑
้ม ,4.495257030681606,0.033989003699216105,0.14644351464435146,0.21682425823280077,NON-SOCK↑
พี,4.485258902534328,0.034188367686502304,0.04184100418410042,0.10792305184219107,NON-SOCK↑
าห้,4.484949299501723,0.03419456068575762,0.0016736401673640166,0.012063906097163351,NON-SOCK↑
ห้าห้า,4.437332021718142,0.03516115377882081,0.0,0.008151287903488751,NON-SOCK↑
ห้าห้,4.437332021718142,0.03516115377882081,0.0,0.008151287903488751,NON-SOCK↑
้าห้า,4.437332021718142,0.03516115377882081,0.0,0.008151287903488751,NON-SOCK↑
 .,4.431096644518992,0.035289826750045585,0.25481171548117154,0.19889142484512554,SOCK↑
ห้าห,4.2663198482084415,0.03887503831121653,0.00041841004184100416,0.008151287903488751,NON-SOCK↑
กกกกก,4.239195745076576,0.039500874902439975,0.00502092050209205,0.0006521030322791001,SOCK↑
 . ,4.133042299859838,0.04205368340383478,0.25481171548117154,0.19889142484512554,SOCK↑
าห้า,4.107912971108915,0.042683003457990254,0.0012552301255230125,0.008803390935767852,NON-SOCK↑
ยยย,3.941865542714997,0.04709851945682613,0.013389121338912133,0.005216824258232801,SOCK↑
็อบ,3.863899304872519,0.04933554409561628,0.02301255230125523,0.0078252363873492,SOCK↑
ี้ย,3.8411637522658113,0.050008799599599287,0.04142259414225941,0.09553309422888817,NON-SOCK↑
