feature_set,model,precision,recall,f1,acc,auc,cv_f1_mean,cv_f1_std
A: Karin-style (user-agg),DT,0.5333333333333333,0.26666666666666666,0.35555555555555557,0.6419753086419753,0.5395424836601307,0.36803986710963454,0.16074219970999346
A: Karin-style (user-agg),RF,0.625,0.3333333333333333,0.43478260869565216,0.6790123456790124,0.5944444444444446,0.40205128205128204,0.07113307903108373
A: Karin-style (user-agg),NB,0.45454545454545453,0.3333333333333333,0.38461538461538464,0.6049382716049383,0.5519607843137255,0.388428883777721,0.10752510442209466
A: Karin-style (user-agg),SVM,0.4473684210526316,0.5666666666666667,0.5,0.5802469135802469,0.5944444444444444,0.5042519863343108,0.12727526943799006
A: Karin-style (user-agg),LR,0.45,0.6,0.5142857142857142,0.5802469135802469,0.60359477124183,0.5187251265997104,0.12800646522023199
B: Lindsey behavioral,DT,0.36,0.3,0.32727272727272727,0.5432098765432098,0.5045751633986928,0.3687889029948447,0.08975588787771781
B: Lindsey behavioral,RF,0.42857142857142855,0.3,0.35294117647058826,0.5925925925925926,0.5496732026143791,0.34157732983819944,0.14292076293968062
B: Lindsey behavioral,NB,0.5416666666666666,0.43333333333333335,0.48148148148148145,0.654320987654321,0.6032679738562091,0.33384863344950827,0.06026518765069884
B: Lindsey behavioral,SVM,0.4857142857142857,0.5666666666666667,0.5230769230769231,0.6172839506172839,0.6196078431372549,0.4408118269600294,0.06292887482071831
B: Lindsey behavioral,LR,0.5161290322580645,0.5333333333333333,0.5245901639344263,0.6419753086419753,0.6254901960784314,0.4726590715337518,0.0644833860543495
C: Combined (A+B),DT,0.4482758620689655,0.43333333333333335,0.4406779661016949,0.5925925925925926,0.5542483660130719,0.41332766111942904,0.0869563970365278
C: Combined (A+B),RF,0.6875,0.36666666666666664,0.4782608695652174,0.7037037037037037,0.5879084967320262,0.35106155106155107,0.15655069502233362
C: Combined (A+B),NB,0.5,0.43333333333333335,0.4642857142857143,0.6296296296296297,0.5980392156862745,0.39847510668563296,0.07699970009737912
C: Combined (A+B),SVM,0.5454545454545454,0.6,0.5714285714285714,0.6666666666666666,0.6398692810457516,0.4675080550410704,0.14712871113121465
C: Combined (A+B),LR,0.5161290322580645,0.5333333333333333,0.5245901639344263,0.6419753086419753,0.6313725490196079,0.5188069905221274,0.08640314594133332
