experiment,config,NB,RF,SVM,DNN,DT
1,only_content,0.1333,0.6718,0.6891,0.0721,0.6617
1,only_structural,0.1322,0.6578,0.6435,0.633,0.6525
1,only_coordination,0.6774,0.2667,0.3902,0.6186,0.3143
1,drop_content,0.6486,0.2069,0.2443,0.5744,0.2406
1,drop_structural,0.6891,0.2645,0.4,0.61,0.3077
1,drop_coordination,0.2462,0.6348,0.6527,0.6124,0.6798
1,full,0.6507,0.2149,0.2443,0.5946,0.1719
2,only_content,0.1,0.6907,0.6802,0.6667,0.6768
2,only_structural,0.2424,0.6816,0.7016,0.6893,0.6782
2,only_coordination,0.6845,0.36,0.2642,0.6875,0.2772
2,drop_content,0.6885,0.34,0.375,0.6303,0.2913
2,drop_structural,0.6957,0.3191,0.2569,0.6707,0.234
2,drop_coordination,0.2424,0.6784,0.6923,0.6629,0.6667
2,full,0.6961,0.3125,0.3429,0.6883,0.2449
3,only_content,0.1224,0.6786,0.6609,0.6786,0.7069
3,only_structural,0.2333,0.6667,0.6667,0.6869,0.6337
3,only_coordination,0.6957,0.2105,0.1096,0.7339,0.1379
3,drop_content,0.6972,0.2414,0.2373,0.68,0.1053
3,drop_structural,0.7018,0.2105,0.0938,0.6939,0.1111
3,drop_coordination,0.3175,0.6526,0.6535,0.6857,0.64
3,full,0.6972,0.2456,0.1351,0.7292,0.1481
