experiment,config,n_features,classifier,recall,precision,f1
1,only_content,20,NB,0.08247422680412371,0.34782608695652173,0.13333333333333333
1,only_content,20,RF,0.8969072164948454,0.5370370370370371,0.6718146718146718
1,only_content,20,SVM,0.9484536082474226,0.5411764705882353,0.6891385767790262
1,only_content,20,DNN,0.041237113402061855,0.2857142857142857,0.07207207207207207
1,only_content,20,DT,0.9072164948453608,0.5207100591715976,0.6616541353383458
1,only_structural,20,NB,0.08247422680412371,0.3333333333333333,0.1322314049586777
1,only_structural,20,RF,0.7628865979381443,0.578125,0.6577777777777778
1,only_structural,20,SVM,0.7628865979381443,0.556390977443609,0.6434782608695652
1,only_structural,20,DNN,0.711340206185567,0.5702479338842975,0.6330275229357798
1,only_structural,20,DT,0.7938144329896907,0.5539568345323741,0.652542372881356
1,only_coordination,22,NB,0.865979381443299,0.5562913907284768,0.6774193548387096
1,only_coordination,22,RF,0.16494845360824742,0.6956521739130435,0.26666666666666666
1,only_coordination,22,SVM,0.41237113402061853,0.37037037037037035,0.3902439024390244
1,only_coordination,22,DNN,0.6185567010309279,0.6185567010309279,0.6185567010309279
1,only_coordination,22,DT,0.2268041237113402,0.5116279069767442,0.3142857142857143
1,drop_content,42,NB,0.7422680412371134,0.576,0.6486486486486487
1,drop_content,42,RF,0.12371134020618557,0.631578947368421,0.20689655172413793
1,drop_content,42,SVM,0.16494845360824742,0.47058823529411764,0.24427480916030533
1,drop_content,42,DNN,0.5773195876288659,0.5714285714285714,0.5743589743589743
1,drop_content,42,DT,0.16494845360824742,0.4444444444444444,0.24060150375939848
1,drop_structural,42,NB,0.845360824742268,0.5815602836879432,0.6890756302521008
1,drop_structural,42,RF,0.16494845360824742,0.6666666666666666,0.2644628099173554
1,drop_structural,42,SVM,0.422680412371134,0.37962962962962965,0.4
1,drop_structural,42,DNN,0.6288659793814433,0.5922330097087378,0.61
1,drop_structural,42,DT,0.2268041237113402,0.4782608695652174,0.3076923076923077
1,drop_coordination,40,NB,0.16494845360824742,0.48484848484848486,0.24615384615384617
1,drop_coordination,40,RF,0.7525773195876289,0.5488721804511278,0.6347826086956522
1,drop_coordination,40,SVM,0.8041237113402062,0.5492957746478874,0.6527196652719666
1,drop_coordination,40,DNN,0.6597938144329897,0.5714285714285714,0.6124401913875598
1,drop_coordination,40,DT,0.8865979381443299,0.5512820512820513,0.6798418972332015
1,full,62,NB,0.7010309278350515,0.6071428571428571,0.6507177033492823
1,full,62,RF,0.13402061855670103,0.5416666666666666,0.21487603305785125
1,full,62,SVM,0.16494845360824742,0.47058823529411764,0.24427480916030533
1,full,62,DNN,0.5670103092783505,0.625,0.5945945945945946
1,full,62,DT,0.1134020618556701,0.3548387096774194,0.171875
2,only_content,20,NB,0.05714285714285714,0.4,0.1
2,only_content,20,RF,0.9571428571428572,0.5403225806451613,0.6907216494845361
2,only_content,20,SVM,0.9571428571428572,0.5275590551181102,0.6802030456852792
2,only_content,20,DNN,0.8857142857142857,0.5344827586206896,0.6666666666666666
2,only_content,20,DT,0.9571428571428572,0.5234375,0.6767676767676768
2,only_structural,20,NB,0.17142857142857143,0.41379310344827586,0.24242424242424243
2,only_structural,20,RF,0.8714285714285714,0.5596330275229358,0.6815642458100558
2,only_structural,20,SVM,0.9571428571428572,0.5537190082644629,0.7015706806282722
2,only_structural,20,DNN,0.8714285714285714,0.5700934579439252,0.6892655367231638
2,only_structural,20,DT,0.8428571428571429,0.5673076923076923,0.6781609195402298
2,only_coordination,22,NB,0.9142857142857143,0.5470085470085471,0.6844919786096256
2,only_coordination,22,RF,0.2571428571428571,0.6,0.36
2,only_coordination,22,SVM,0.2,0.3888888888888889,0.2641509433962264
2,only_coordination,22,DNN,0.7857142857142857,0.6111111111111112,0.6875
2,only_coordination,22,DT,0.2,0.45161290322580644,0.27722772277227725
2,drop_content,42,NB,0.9,0.5575221238938053,0.6885245901639344
2,drop_content,42,RF,0.24285714285714285,0.5666666666666667,0.34
2,drop_content,42,SVM,0.38571428571428573,0.36486486486486486,0.375
2,drop_content,42,DNN,0.7428571428571429,0.5473684210526316,0.6303030303030303
2,drop_content,42,DT,0.21428571428571427,0.45454545454545453,0.2912621359223301
2,drop_structural,42,NB,0.9142857142857143,0.5614035087719298,0.6956521739130435
2,drop_structural,42,RF,0.21428571428571427,0.625,0.3191489361702128
2,drop_structural,42,SVM,0.2,0.358974358974359,0.25688073394495414
2,drop_structural,42,DNN,0.8,0.5773195876288659,0.6706586826347305
2,drop_structural,42,DT,0.15714285714285714,0.4583333333333333,0.23404255319148937
2,drop_coordination,40,NB,0.17142857142857143,0.41379310344827586,0.24242424242424243
2,drop_coordination,40,RF,0.8285714285714286,0.5742574257425742,0.6783625730994152
2,drop_coordination,40,SVM,0.9,0.5625,0.6923076923076923
2,drop_coordination,40,DNN,0.8428571428571429,0.5462962962962963,0.6629213483146067
2,drop_coordination,40,DT,0.8,0.5714285714285714,0.6666666666666666
2,full,62,NB,0.9,0.5675675675675675,0.6961325966850829
2,full,62,RF,0.21428571428571427,0.5769230769230769,0.3125
2,full,62,SVM,0.34285714285714286,0.34285714285714286,0.34285714285714286
2,full,62,DNN,0.7571428571428571,0.6309523809523809,0.6883116883116883
2,full,62,DT,0.17142857142857143,0.42857142857142855,0.24489795918367346
3,only_content,20,NB,0.07317073170731707,0.375,0.12244897959183673
3,only_content,20,RF,0.926829268292683,0.5352112676056338,0.6785714285714286
3,only_content,20,SVM,0.926829268292683,0.5135135135135135,0.6608695652173913
3,only_content,20,DNN,0.926829268292683,0.5352112676056338,0.6785714285714286
3,only_content,20,DT,1.0,0.5466666666666666,0.7068965517241379
3,only_structural,20,NB,0.17073170731707318,0.3684210526315789,0.23333333333333334
3,only_structural,20,RF,0.8048780487804879,0.5689655172413793,0.6666666666666666
3,only_structural,20,SVM,0.8780487804878049,0.5373134328358209,0.6666666666666666
3,only_structural,20,DNN,0.8292682926829268,0.5862068965517241,0.6868686868686869
3,only_structural,20,DT,0.7804878048780488,0.5333333333333333,0.6336633663366337
3,only_coordination,22,NB,0.975609756097561,0.5405405405405406,0.6956521739130435
3,only_coordination,22,RF,0.14634146341463414,0.375,0.21052631578947367
3,only_coordination,22,SVM,0.0975609756097561,0.125,0.1095890410958904
3,only_coordination,22,DNN,0.975609756097561,0.5882352941176471,0.7339449541284404
3,only_coordination,22,DT,0.0975609756097561,0.23529411764705882,0.13793103448275862
3,drop_content,42,NB,0.926829268292683,0.5588235294117647,0.6972477064220184
3,drop_content,42,RF,0.17073170731707318,0.4117647058823529,0.2413793103448276
3,drop_content,42,SVM,0.17073170731707318,0.3888888888888889,0.23728813559322035
3,drop_content,42,DNN,0.8292682926829268,0.576271186440678,0.68
3,drop_content,42,DT,0.07317073170731707,0.1875,0.10526315789473684
3,drop_structural,42,NB,0.975609756097561,0.547945205479452,0.7017543859649122
3,drop_structural,42,RF,0.14634146341463414,0.375,0.21052631578947367
3,drop_structural,42,SVM,0.07317073170731707,0.13043478260869565,0.09375
3,drop_structural,42,DNN,0.8292682926829268,0.5964912280701754,0.6938775510204082
3,drop_structural,42,DT,0.07317073170731707,0.23076923076923078,0.1111111111111111
3,drop_coordination,40,NB,0.24390243902439024,0.45454545454545453,0.31746031746031744
3,drop_coordination,40,RF,0.7560975609756098,0.5740740740740741,0.6526315789473685
3,drop_coordination,40,SVM,0.8048780487804879,0.55,0.6534653465346535
3,drop_coordination,40,DNN,0.8780487804878049,0.5625,0.6857142857142857
3,drop_coordination,40,DT,0.7804878048780488,0.5423728813559322,0.64
3,full,62,NB,0.926829268292683,0.5588235294117647,0.6972477064220184
3,full,62,RF,0.17073170731707318,0.4375,0.24561403508771928
3,full,62,SVM,0.12195121951219512,0.15151515151515152,0.13513513513513514
3,full,62,DNN,0.8536585365853658,0.6363636363636364,0.7291666666666666
3,full,62,DT,0.0975609756097561,0.3076923076923077,0.14814814814814814
