classifier,experiment,f1_full,f1_drop_temp,f1_full_logtmp,f1_drop_coord,log_gain,rescue_gap,log_recovery_pct,logtmp_is_best
NB,1,0.6507,0.6348,0.6404,0.2462,-0.0104,-0.4046,,False
NB,2,0.6961,0.6882,0.6842,0.2424,-0.0119,-0.4537,,False
NB,3,0.6972,0.6909,0.7143,0.3175,0.017,-0.3798,,True
RF,1,0.2149,0.2707,0.1849,0.6348,-0.03,0.4199,-7.1,False
RF,2,0.3125,0.2626,0.3158,0.6784,0.0033,0.3659,0.9,False
RF,3,0.2456,0.1154,0.2456,0.6526,0.0,0.407,0.0,False
SVM,1,0.2443,0.604,0.6537,0.6527,0.4094,0.4084,100.2,True
SVM,2,0.3429,0.6826,0.716,0.6923,0.3732,0.3495,106.8,True
SVM,3,0.1351,0.7071,0.76,0.6535,0.6249,0.5183,120.6,True
DNN,1,0.5946,0.601,0.5856,0.6124,-0.009,0.0178,-50.2,False
DNN,2,0.6883,0.6625,0.6933,0.6629,0.005,-0.0254,,True
DNN,3,0.7292,0.6598,0.7609,0.6857,0.0317,-0.0435,,True
DT,1,0.1719,0.2958,0.16,0.6798,-0.0119,0.508,-2.3,False
DT,2,0.2449,0.2316,0.2449,0.6667,0.0,0.4218,0.0,False
DT,3,0.1481,0.0385,0.1481,0.64,0.0,0.4919,0.0,False
